OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,GlobalID,Shape__Area,Shape__Length
3886,37,119,002702,2,371190027022,Block Group 2,0016261,"Block Group 2, Census Tract 27.02, Mecklenburg County, North Carolina",1197,978,68,35,0,47,209,0.17460317,9d87c1a8-e845-4ebc-884b-1a6b1992e805,11769983.265564,14972.9160258914
3887,37,119,002904,4,371190029044,Block Group 4,0016272,"Block Group 4, Census Tract 29.04, Mecklenburg County, North Carolina",503,503,17,19,0,0,45,0.08946322,d92b927e-3714-4e42-8139-0d01b980bce9,9060765.30743408,14397.9751730506
3888,37,119,005706,4,371190057064,Block Group 4,0016495,"Block Group 4, Census Tract 57.06, Mecklenburg County, North Carolina",828,706,78,15,19,19,84,0.10144928,faca21ef-7f13-43e2-9e5d-b44c43e3aa70,65661502.1050415,35512.1741308818
3889,37,119,006006,2,371190060062,Block Group 2,0016613,"Block Group 2, Census Tract 60.06, Mecklenburg County, North Carolina",1035,932,97,14,0,0,168,0.16231884,b9bc5ef1-fe63-418b-9505-6245f212a8ed,41211947.0464478,39317.0411495634
3890,37,119,001912,3,371190019123,Block Group 3,0016205,"Block Group 3, Census Tract 19.12, Mecklenburg County, North Carolina",365,137,9,31,0,13,83,0.22739726,e8ed7284-637a-4ede-8f99-0eb05e61bf21,6710923.05206299,10853.0928002823
3891,37,119,006407,2,371190064072,Block Group 2,0016682,"Block Group 2, Census Tract 64.07, Mecklenburg County, North Carolina",1112,899,124,0,0,34,260,0.23381295,aa676afb-5ac4-46e2-af07-5d0baf537335,22796208.8511963,20698.9984889023
3892,37,119,005844,2,371190058442,Block Group 2,0016574,"Block Group 2, Census Tract 58.44, Mecklenburg County, North Carolina",2229,2015,28,28,13,17,121,0.05428443,d2ec9657-98f2-4aab-b38b-bbcbe33c6db2,31380368.0952759,30157.8056603946
3893,37,119,003806,2,371190038062,Block Group 2,0016348,"Block Group 2, Census Tract 38.06, Mecklenburg County, North Carolina",525,472,56,24,0,11,120,0.22857143,8843e231-7c72-4156-89f3-9e9383ebefbf,36563328.0790405,30252.408740524
3894,37,119,005520,1,371190055201,Block Group 1,0016445,"Block Group 1, Census Tract 55.20, Mecklenburg County, North Carolina",1740,1640,77,25,48,0,353,0.20287356,f20b7bdb-d206-4c9f-a38d-12b3d8d64009,35512065.3143311,27111.9602349174
3895,37,119,005848,2,371190058482,Block Group 2,0016583,"Block Group 2, Census Tract 58.48, Mecklenburg County, North Carolina",715,773,13,0,0,0,8,0.01118881,aea43f00-2f73-49d8-a3e4-39b5ba077e4c,22160197.9805298,23810.7026268256
3896,37,119,005511,2,371190055112,Block Group 2,0016426,"Block Group 2, Census Tract 55.11, Mecklenburg County, North Carolina",1048,1006,32,0,0,0,60,0.05725191,be4fffa4-698f-44f2-9371-7559f2be74e3,7545010.4621582,11892.9646441778
3897,37,119,003102,2,371190031022,Block Group 2,0016308,"Block Group 2, Census Tract 31.02, Mecklenburg County, North Carolina",682,511,10,15,0,0,65,0.09530792,29f0c49a-736d-4c0e-99d5-ae90989570b2,8633780.07373047,14018.4493869156
3898,37,119,003011,2,371190030112,Block Group 2,0016290,"Block Group 2, Census Tract 30.11, Mecklenburg County, North Carolina",408,309,0,18,0,0,87,0.21323529,3873a3a7-e4de-4d4a-be87-b5dda5b685b1,4370020.72955322,8821.15935993134
3899,37,119,006007,2,371190060072,Block Group 2,0016616,"Block Group 2, Census Tract 60.07, Mecklenburg County, North Carolina",1004,893,38,0,0,0,70,0.06972112,21f23b6d-2ffd-4a5b-a7cb-3d3ef9f85b5d,30668858.4972534,24690.2402845423
3900,37,119,002200,2,371190022002,Block Group 2,0016246,"Block Group 2, Census Tract 22, Mecklenburg County, North Carolina",456,354,13,51,0,0,139,0.30482456,e465aaca-3460-42d4-b0c9-d2d14d28685b,11492404.4074707,14762.4878065079
3901,37,119,004100,1,371190041001,Block Group 1,0016365,"Block Group 1, Census Tract 41, Mecklenburg County, North Carolina",426,229,17,74,36,0,203,0.47652582,06181ff9-7b33-450d-a19f-2b2c46bfba28,6090568.93579102,11859.3947558351
